humano;null;3;30;2;1;1;1;30;null;null
antroplantae;null;null;null;Silvestre,1;null;null;null;32;Arbóreo,Floral;Fotossíntese, Vegetação, Enraizar, Não-humanoides
construto;null;null;null;Zaunita,1;null;null;null;37;Ligeiro,Emissário,Brutal;Construto Vivo, Descanço do Vigia, Proteção Ajustável
meio-dragão;cons;2;30;Drâconico,1;null;null;null;40;Elemental Glacial,Elemental Infernal,Elemental da Montanha,Elemental das Nuvens,Elemental do Oceano;Essência Dracônica, Forma Dracônica
minotauro;forc;2;30;Minotáurico,1;Intimidação;null;null;44;null;Armadura Natural, Constituição poderosa, Urro Triunfante, Chifres, Estouro, Cabeçada
troll;cons;2;30;Troll,1;Sobrevivência;null;null;46;Troll do Gelo,Troll da Areia;Armadura natural, Fúria de Batalha, Mordida, Armamento Tribal, Caçadores Natos
vastaya;null;null;null;Vastaya,1;null;null;null;48;Oovi-Kat,Marai,Shimon,Fauhwoon,Ottrani,Kiilash,Lhotlan;Forma Feral,Forma Humana,Forma Animal,Metamorfos
yordle;cari;2;30;Yordle,1;Percepção;null;null;56;null;Necessidade de Cobertura, Visão no Escuro, Máscara da Natureza, Glamour, Mestre do Glamour, Magia Inata
runinata;2;1;30;null;null;null;null;58;null;Passado, Traços Maiores, Traços Menores
null;null;null;null;null;null;null;null;null;null;null
